"Settings","Settings"
"Extension Enabled","Extension Enabled"
"Yes","Yes"
"No","No"
"Multi-category mode","Multi-category mode"
"Graphical price range","Graphical price range"
"Save Settings","Save Settings"
"Layered Navigation Configuration","Layered Navigation Configuration"
"Filter model name must be declared.","Filter model name must be declared."
"The extension is not registered for the website selected. Please register it with an additional S/N.","The extension is not registered for the website selected. Please register it with an additional S/N."
"IToris Extensions","IToris Extensions"
"Layered Navigation","Layered Navigation"
"Settings have been saved.","Settings have been saved."
"Unable to save settings.","Unable to save settings."
"The component has been registered!","The component has been registered!"
"Invalid serial number!","Invalid serial number!"
"Category","Category"
"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
"Register","Register"
"Use Website","Use Website"
"Use Default","Use Default"
"Current Configuration Scope:","Current Configuration Scope:"
"Manage Stores","Manage Stores"
"Shop By","Shop By"
"Loading... Please wait","Loading... Please wait"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Items %s to %s of %s total","Items %s to %s of %s total"
"%s Item(s)","%s Item(s)"
"Show","Show"
"per page","per page"
"View as","View as"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Previous","Previous"
"Next","Next"
